iteration,classifier,accuracy,sensitivity,specificity,macc,config,best_classifier
0,Nearest Neighbors,0.7395833333333334,0.2826086956521739,0.8835616438356164,0.5830851697438951,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,Linear SVM,0.7604166666666666,0.0,1.0,0.5,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,RBF SVM,0.7708333333333334,0.10869565217391304,0.9794520547945206,0.5440738534842168,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,Gaussian Process,0.765625,0.13043478260869565,0.9657534246575342,0.548094103633115,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,Decision Tree,0.7447916666666666,0.10869565217391304,0.9452054794520548,0.5269505658129839,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,Random Forest,0.765625,0.08695652173913043,0.9794520547945206,0.5332042882668255,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,Neural Net,0.7708333333333334,0.10869565217391304,0.9794520547945206,0.5440738534842168,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,AdaBoost,0.7708333333333334,0.08695652173913043,0.9863013698630136,0.536628945801072,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,Naive Bayes,0.7604166666666666,0.15217391304347827,0.952054794520548,0.5521143537820131,{'mfcc': {'n_mfcc': 13}},RBF SVM
0,QDA,0.7604166666666666,0.15217391304347827,0.952054794520548,0.5521143537820131,{'mfcc': {'n_mfcc': 13}},RBF SVM
1,Nearest Neighbors,0.7135416666666666,0.2608695652173913,0.8561643835616438,0.5585169743895175,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,Linear SVM,0.7604166666666666,0.0,1.0,0.5,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,RBF SVM,0.78125,0.10869565217391304,0.9931506849315068,0.55092316855271,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,Gaussian Process,0.7604166666666666,0.10869565217391304,0.9657534246575342,0.5372245384157236,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,Decision Tree,0.75,0.08695652173913043,0.958904109589041,0.5229303156640858,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,Random Forest,0.7552083333333334,0.10869565217391304,0.958904109589041,0.533799880881477,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,Neural Net,0.7760416666666666,0.10869565217391304,0.9863013698630136,0.5474985110184634,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,AdaBoost,0.7708333333333334,0.06521739130434782,0.9931506849315068,0.5291840381179274,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,Naive Bayes,0.7604166666666666,0.10869565217391304,0.9657534246575342,0.5372245384157236,{'mfcc': {'n_mfcc': 19}},RBF SVM
1,QDA,0.7604166666666666,0.10869565217391304,0.9657534246575342,0.5372245384157236,{'mfcc': {'n_mfcc': 19}},RBF SVM
2,Nearest Neighbors,0.6875,0.17391304347826086,0.8493150684931506,0.5116140559857058,{'chroma': {'n_chroma': 12}},Linear SVM
2,Linear SVM,0.7604166666666666,0.0,1.0,0.5,{'chroma': {'n_chroma': 12}},Linear SVM
2,RBF SVM,0.7604166666666666,0.0,1.0,0.5,{'chroma': {'n_chroma': 12}},Linear SVM
2,Gaussian Process,0.7604166666666666,0.0,1.0,0.5,{'chroma': {'n_chroma': 12}},Linear SVM
2,Decision Tree,0.7447916666666666,0.06521739130434782,0.958904109589041,0.5120607504466944,{'chroma': {'n_chroma': 12}},Linear SVM
2,Random Forest,0.7604166666666666,0.021739130434782608,0.9931506849315068,0.5074449076831448,{'chroma': {'n_chroma': 12}},Linear SVM
2,Neural Net,0.7604166666666666,0.0,1.0,0.5,{'chroma': {'n_chroma': 12}},Linear SVM
2,AdaBoost,0.7447916666666666,0.021739130434782608,0.9726027397260274,0.497170935080405,{'chroma': {'n_chroma': 12}},Linear SVM
2,Naive Bayes,0.7552083333333334,0.0,0.9931506849315068,0.4965753424657534,{'chroma': {'n_chroma': 12}},Linear SVM
2,QDA,0.7552083333333334,0.0,0.9931506849315068,0.4965753424657534,{'chroma': {'n_chroma': 12}},Linear SVM
3,Nearest Neighbors,0.71875,0.32608695652173914,0.8424657534246576,0.5842763549731984,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,Linear SVM,0.7604166666666666,0.0,1.0,0.5,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,RBF SVM,0.765625,0.15217391304347827,0.958904109589041,0.5555390113162597,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,Gaussian Process,0.7552083333333334,0.15217391304347827,0.9452054794520548,0.5486896962477665,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,Decision Tree,0.7760416666666666,0.17391304347826086,0.9657534246575342,0.5698332340678975,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,Random Forest,0.7552083333333334,0.13043478260869565,0.952054794520548,0.5412447885646218,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,Neural Net,0.7552083333333334,0.15217391304347827,0.9452054794520548,0.5486896962477665,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,AdaBoost,0.7447916666666666,0.15217391304347827,0.9315068493150684,0.5418403811792734,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,Naive Bayes,0.7447916666666666,0.15217391304347827,0.9315068493150684,0.5418403811792734,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
3,QDA,0.7447916666666666,0.15217391304347827,0.9315068493150684,0.5418403811792734,"{'mfcc': {'n_mfcc': 19}, 'chroma': {'n_chroma': 12}}",Decision Tree
4,Nearest Neighbors,0.65625,0.10869565217391304,0.8287671232876712,0.46873138773079215,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",Linear SVM
4,Linear SVM,0.7604166666666666,0.0,1.0,0.5,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",Linear SVM
4,RBF SVM,0.7552083333333334,0.0,0.9931506849315068,0.4965753424657534,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",Linear SVM
4,Gaussian Process,0.7552083333333334,0.0,0.9931506849315068,0.4965753424657534,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",Linear SVM
